Date                                    , Status                                  , ProjName                                , BoardDefShortName                       , BoardDefName                            , SynthName                               , ImplName                                , SynthInfo                               , SynthWarnings                           , SynthCritWarnings                       , SynthError                              , ImplInfo                                , ImplWarnings                            , ImplCritWarnings                        , ImplError                               , ImplDRCWarnings                         , ImplDRCError                            , ImplTimingWNS                           , ImplTimingFaildEndpoints                , ImplTimingTNS                           ,
2022-05-12T01:07:26                     , Error                                   , KV260_VIDEO                             , kv260_som                               , xilinx.com:kv260_som:part0:1.3          , synth_1                                 , impl_1                                  , 141                                     , 103                                     , 0                                       , 0                                       , 47                                      , 28                                      , 0                                       , 0                                       , 26                                      ,  0                                      , -1.204                                  , 101                                     , -114.047                                ,
2022-05-26T15:23:56                     , Error                                   , KV260                                   , kv260_som                               , xilinx.com:kv260_som:part0:1.3          , synth_1                                 , impl_1                                  , 119                                     , 103                                     , 0                                       , 0                                       , 47                                      , 34                                      , 0                                       , 0                                       , 32                                      ,  0                                      , -23.620                                 , 478                                     , -2715.227                               ,
2022-06-04T21:48:10                     , Error                                   , KV260                                   , kv260_som                               , xilinx.com:kv260_som:part0:1.3          , synth_1                                 , impl_1                                  , 128                                     , 103                                     , 0                                       , 0                                       , 47                                      , 36                                      , 0                                       , 0                                       , 35                                      ,  0                                      , -26.370                                 , 5085                                    , -9246.303                               ,
2022-06-06T12:47:49                     , Error                                   , KV260                                   , kv260_som                               , xilinx.com:kv260_som:part0:1.3          , synth_1                                 , impl_1                                  , 122                                     , 103                                     , 0                                       , 0                                       , 47                                      , 36                                      , 0                                       , 0                                       , 35                                      ,  0                                      , -23.414                                 , 4828                                    , -7885.640                               ,
